Year,Country1,Country2,Whole_count,Fractional_count
1984,GBR,USA,1,0.333333333
1984,GBR,USA,1,0.333333333
1984,AUS,USA,1,1
1984,CAN,CAN,1,0.333333333
1984,AUS,CAN,1,0.333333333
1984,AUS,CAN,1,0.333333333
1984,CAN,CAN,1,0.333333333
1984,CAN,JPN,1,0.333333333
1984,CAN,JPN,1,0.333333333
1984,CAN,USA,1,1
1984,CAN,JPN,1,1
1984,CAN,FRA,1,0.333333333
1984,CAN,FRA,1,0.333333333
1984,CAN,CAN,1,0.333333333
1984,CAN,JPN,1,1
1984,GBR,USA,1,0.166666667
1984,GBR,USA,1,0.166666667
1984,GBR,USA,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,GBR,1,0.166666667
1984,GBR,IND,1,1
1984,CAN,IND,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,IND,1,0.166666667
1984,CAN,IND,1,0.166666667
1984,CAN,CAN,1,0.166666667
1984,CAN,USA,1,1
1984,CAN,CAN,1,0.333333333
1984,CAN,IND,1,0.333333333
1984,CAN,IND,1,0.333333333
1984,AUS,USA,1,0.333333333
1984,AUS,USA,1,0.333333333
1984,GBR,SWE,1,0.333333333
1984,CAN,VEN,1,1
1984,CAN,CHN,1,1
1984,CAN,SGP,1,1
1985,GBR,USA,1,1
1985,GBR,USA,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,CAN,USA,1,1
1985,GBR,GBR,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,GBR,USA,1,0.333333333
1985,CAN,CAN,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,0.333333333
1985,CAN,USA,1,1
1985,CAN,USA,1,1
1985,FRA,GBR,1,1
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,NZL,USA,1,0.022222222
1985,CAN,USA,1,1
1985,CAN,USA,1,0.066666667
1985,CAN,USA,1,0.166666667
1985,CAN,USA,1,0.166666667
1985,CAN,USA,1,0.166666667
1985,GBR,IRQ,1,1
1985,AUS,USA,1,1
1985,AUS,CHE,1,1
1985,FRA,GBR,1,1
1985,GBR,NZL,1,1
1985,AUS,USA,1,0.333333333
1985,AUS,USA,1,0.333333333
1986,CAN,CAN,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,DEU,1,0.333333333
1986,CAN,DEU,1,0.333333333
1986,CAN,USA,1,0.333333333
1986,CAN,ISR,1,0.333333333
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,DEU,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,CAN,1,0.1
1986,CAN,ISR,1,0.1
